epoch,training_loss
1,0.6729552497466406
2,0.5211341604590416
3,0.4413428728779157
4,0.43602293978134793
5,0.44069874038298923
6,0.3736650620897611
7,0.3890075037876765
8,0.34893648823102313
9,0.3788744869331519
10,0.3521842112143834
11,0.30243242035309476
12,0.3444327712059021
13,0.35176866004864377
14,0.33743449424703914
15,0.3108309271434943
16,0.2737679295241833
17,0.31197284162044525
18,0.31533242513736087
19,0.272168293595314
20,0.28428589428464573
21,0.26182859390974045
22,0.2934802249073982
23,0.30585816502571106
24,0.2822095553080241
25,0.2756364345550537
26,0.27557214846213657
27,0.27519222473104793
28,0.2740260362625122
29,0.3040401078760624
30,0.26973598450422287
31,0.27087294186155003
32,0.2652907545367877
33,0.2625062974790732
34,0.3171557697157065
35,0.22689522802829742
36,0.27413765837748844
37,0.2798181561132272
38,0.26907827456792194
39,0.286754642923673
40,0.251382348438104
41,0.28910157829523087
42,0.24513166770339012
43,0.22733304525415102
44,0.24508593728144965
45,0.2756418287754059
46,0.2875531017780304
47,0.2623155278464158
48,0.2452846330900987
49,0.27292519186933833
50,0.2312620555361112
51,0.2496568722029527
52,0.2620447377363841
53,0.31552887211243313
54,0.2620001609126727
55,0.25750033433238667
56,0.27444376175602275
57,0.2043658047914505
58,0.24139525244633356
59,0.24518269300460815
60,0.2699884573618571
61,0.2226527308424314
62,0.24828803663452467
63,0.21081990003585815
64,0.20729812731345496
65,0.23990496496359506
66,0.3101229319969813
67,0.26637135073542595
68,0.2769587164123853
69,0.2473280318081379
70,0.24652486542860666
71,0.24181963130831718
72,0.21486661086479822
73,0.24540622159838676
74,0.24146650607387224
75,0.251772607366244
76,0.23063491533199945
77,0.25239167859156925
78,0.2348380188147227
79,0.1981483263274034
80,0.2697034565111001
81,0.24514899278680483
82,0.19318563304841518
83,0.23476190492510796
84,0.25461363792419434
85,0.22339170798659325
86,0.23340877269705138
87,0.2227069642394781
88,0.24564344560106596
89,0.23951727648576102
90,0.2693246466418107
91,0.22384384895364443
92,0.20680601273973784
93,0.25407451515396434
94,0.2569093865652879
95,0.23649470011393228
96,0.21011986831823984
97,0.24199331675966582
98,0.2516301249464353
99,0.21903971955180168
100,0.2549768549700578
101,0.23553264637788138
102,44.91365337371826
103,31.85347604751587
104,25.27566687266032
105,21.749128500620525
106,19.548951307932537
107,18.08888324101766
