epoch,training_loss
1,0.7519932637612025
2,0.7317259262005488
3,0.7001432925462723
4,0.6524845560391744
5,0.6496455619732538
6,0.6696620111664137
7,0.6161293263236681
8,0.6060177187124888
9,0.6129717628161112
10,0.6007147058844566
11,0.6125434512893358
12,0.6142961606383324
13,0.5917123332619667
14,0.6377695128321648
15,0.5389513547221819
16,0.6035067662596703
17,0.5776041696468989
18,0.602736289302508
19,0.547098475197951
20,0.5570652211705843
21,0.5665535653630892
22,0.5228502079844475
23,0.5421406129995981
24,0.5539194568991661
25,0.5409357647101084
26,0.5374604041377703
27,0.5705323417981466
28,0.5700387706359228
29,0.5246966034173965
30,0.5292623887459437
31,0.5435809021194776
32,0.5468479990959167
33,0.542999063928922
34,0.5539543430010477
35,0.5254335602124532
36,0.5226302767793337
37,0.5096310252944628
38,0.4852396796147029
39,0.5154720991849899
40,0.5185880536834399
41,0.4866606170932452
42,0.534183124701182
43,0.5042802865306536
44,0.5035986651976904
45,0.5226281409462293
46,0.48613668978214264
47,0.48040497054656345
48,0.4607694198687871
49,0.5228220497568449
50,0.4830004312098026
51,0.49745726337035495
52,0.4897585486372312
53,0.5057615985472997
54,0.49540792653958005
55,0.5483606805404028
56,0.5292963162064552
57,0.5274963478247324
58,0.5078229159116745
59,0.5080685069163641
60,0.47178630034128827
61,0.45884551604588825
62,0.4722703620791435
63,0.4824000597000122
64,0.47564295182625455
65,0.47326456507047016
66,0.4993934979041417
67,0.5010059600075086
68,0.4778577263156573
69,0.46637629220883053
70,0.45975885540246964
71,0.4883030454317729
72,0.49440063039461773
73,0.5092567702134451
74,0.4684136087695758
75,0.4467594623565674
76,0.4784494961301486
77,0.4852067579825719
78,0.47155587126811344
79,0.4742337092757225
80,0.48460502674182254
81,0.4270796403288841
82,0.4546717206637065
83,0.47480891396601993
84,0.46043791870276135
85,0.4628778472542763
86,0.4471770375967026
87,0.4498530502120654
88,0.4435129016637802
89,0.5209645380576452
90,0.47311075031757355
91,0.44846663624048233
92,0.47725991159677505
93,0.45249515026807785
94,0.43729151288668316
95,0.43607846399148303
96,0.46832074721654254
97,0.46449951579173404
98,0.46329965194066364
99,0.5194643487532934
100,0.4779984379808108
101,0.4343759963909785
102,46.116207122802734
103,34.271172523498535
104,27.5016295115153
105,23.74074188868205
106,21.158225854237873
107,19.279366970062256
108,17.94659487406413
109,16.972797711690266
110,16.312745889027912
111,15.482218503952026
112,14.531543413798014
113,14.082571188608805
114,13.634466568628946
115,13.073066393534342
116,12.609754165013632
117,12.047605435053507
118,11.579801479975382
119,11.253161668777466
120,10.945482095082602
121,10.76292077700297
122,10.486565510431925
123,9.938769658406576
124,9.659297704696655
125,9.499038934707642
126,9.236129999160767
127,9.014054457346598
128,8.648660659790039
129,8.445619901021322
130,8.160004814465841
131,7.95629088083903
132,7.7563696304957075
133,7.448834498723348
134,7.250345389048259
