epoch,training_loss
1,0.7102264612913132
2,0.6174753655989965
3,0.5954819073279699
4,0.5622967754801115
5,0.5328220203518867
6,0.5565222501754761
7,0.5715804298718771
8,0.5627073446909586
9,0.5709139704704285
10,0.5145596240957578
11,0.5533982341488203
12,0.5168435523907343
13,0.5530713871121407
14,0.5129227836926779
15,0.5308329164981842
16,0.5077053904533386
17,0.5493546401460966
18,0.5439441998799642
19,0.5332963888843855
20,0.5149001305301985
21,0.5000260770320892
22,0.4897310485442479
23,0.5350219309329987
24,0.5253534888227781
25,0.48694754888614017
26,0.5253102208177248
27,0.48253966122865677
28,0.5343342572450638
29,0.5085595548152924
30,0.5004135295748711
31,0.4745657791694005
32,0.48315547158320743
33,0.46484187990427017
34,0.4672308663527171
35,0.4754037881890933
36,0.5053848549723625
37,0.4839191983143489
38,0.5043547178308169
39,0.4880358676115672
40,0.49163517107566196
41,0.48816799372434616
42,0.5085444003343582
43,0.4823785498738289
44,0.4732741415500641
45,0.47349797437588376
46,0.45962586005528766
47,0.45837440465887386
48,0.5110452870527903
49,0.49183376630147296
50,0.4939243073264758
51,0.46101488918066025
52,0.45143386721611023
53,0.432902234296004
54,0.4635658959547679
55,0.4898363798856735
56,0.46218403925498325
57,0.4774973466992378
58,0.45927713066339493
59,0.42840855320294696
60,0.4574454426765442
61,0.4691244885325432
62,0.46116142719984055
63,0.45920992890993756
64,0.4774619787931442
65,0.42538130035003024
66,0.445379080871741
67,0.4641420692205429
68,0.45103244731823605
69,0.47521190096934635
70,0.45439577599366504
71,0.45393772919972736
72,0.42823386440674466
73,0.44096336017052334
74,0.4529692903161049
75,0.4433107127745946
76,0.4550166924794515
77,0.42939504235982895
78,0.43946611136198044
79,0.43850523233413696
80,0.42633140583833057
81,0.4203810468316078
82,0.4559888069828351
83,0.4247669627269109
84,0.4500165532032649
85,0.4377714470028877
86,0.45098359634478885
87,0.4552827576796214
88,0.40514349440733594
89,0.411385936041673
90,0.5070737699667612
91,0.4300081878900528
92,0.4467865948875745
93,0.4747370257973671
94,0.4205336595575015
95,0.4658137708902359
96,0.45091823240121204
97,0.41718386361996335
98,0.3886517708500226
99,0.4261368314425151
100,0.43353914221127826
101,0.4586213131745656
102,44.79013919830322
103,32.75610589981079
104,26.107586065928142
105,22.246648629506428
106,19.900257269541424
107,18.294404824574787
108,17.16325839360555
109,16.114591598510742
110,15.395679712295532
111,14.687705278396606
112,14.102721293767294
113,13.72882596651713
114,13.029856204986572
115,12.499079068501791
116,12.008711258570353
117,11.554695844650269
118,11.138625939687094
