smiles_list,monomer_ID,replicate_count,heavy_atom_count,self-diffusion,self-diffusion_std,self-diffusion_count,self-diffusion_raw
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,PI311,1,13,0.4322279374348033,0.0,1,8.590665543996678e-13
*c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)ccc1-2,PI676,1,29,-1.3714624531118809,0.0,1,2.1709392695263883e-14
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2-c2ccccc2)cc1,PI1031,2,42,-0.6680863768843038,1.4163016753100568e-13,2,3.482493564759603e-13
*CC(*)c1ccc(C(C)=NO)cc1,PI138,2,12,-0.45655514003946585,9.776646326613569e-14,2,4.4645201754493107e-13
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,PI1097,2,45,-0.4672927990221922,3.4376667777555856e-13,2,4.414670956890241e-13
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,-0.7226582098420804,2.685615842482921e-13,2,3.2291456764854933e-13
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c1,PI1059,4,48,-0.5923458995708429,1.9127959780947424e-13,4,3.8341161682936483e-13
*CC(*)(C)C(=O)OCCCCCCCCCCCC,PI447,2,18,1.3700880132835214,4.6551441312613214e-14,2,1.2944649217162082e-12
*c1cccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)c1,PI953,1,29,-0.9223149127226544,0.0,1,2.302246187994762e-13
*CC(*)CCCCCCC,PI11,1,9,1.0395017222526355,0.0,1,1.1409913545192865e-12
*CC(*)CCCCCCCCCCCCCCCCCCCC,PI54,3,22,3.7191744058987775,3.9163071823964767e-13,3,2.3850203322390522e-12
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,PI239,2,14,-1.2118965574575133,1.860808403051706e-14,2,9.57873199217127e-14
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,PI397,1,62,-0.1554166738452851,0.0,1,5.862545316870333e-13
*CC(*)c1ccc(CC)cc1,PI119,1,10,0.7392480102066141,0.0,1,1.0015995844972349e-12
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)CCC(C(C)(C)C)CC3)cc2)cc1,PI1047,3,84,-0.6685975364770659,7.922363446071075e-14,3,3.480120523643364e-13
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,PI156,1,15,-0.21256340027243195,0.0,1,5.597243572776492e-13
*CC(*)c1ccccc1C(=O)OCCC,PI100,2,14,-0.2486918115999133,5.202952064465629e-13,2,5.429518645457343e-13
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,PI356,2,13,-0.6890182836449911,1.5933947499965903e-14,2,3.3853178957753165e-13
*CC(*)CCCC(C)(C)C,PI41,1,9,1.0066183802921962,0.0,1,1.1257253742625512e-12
*CC(*)(C)C(=O)OCc1ccccc1Cl,PI452,1,14,-0.5745812842298375,0.0,1,3.9165877940154347e-13
