smiles_list,monomer_ID,replicate_count,heavy_atom_count,nematic_order_parameter,nematic_order_parameter_std,nematic_order_parameter_count,nematic_order_parameter_raw
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,PI239,2,14,-0.5392155239194365,0.019626638519422993,2,0.0389555380451067
*CC(C)O*,PI525,1,4,-1.1333049128434645,0.0,1,0.0250163748463689
*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,PI995,5,53,0.34440930165446715,0.00744402599433049,5,0.0596880925726981
*CC(*)C(=O)OC(C)C,PI414,1,8,-0.8820017364657291,0.0,1,0.030912719829461
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,PI960,5,29,2.5028965890517267,0.06903746430533003,5,0.1103328391754334
*C(C)C(*)OC,PI288,1,5,-0.9772278794020153,0.0,1,0.0286784218064324
*CC(*)c1ccc(COCCCC)cc1,PI150,2,14,-0.1662551250813294,0.047396280086154825,2,0.0477063354217209
*CC(*)C(=O)c1ccccc1O,PI302,1,11,-1.164511343194129,0.0,1,0.0242841760668287
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,PI165,1,15,-1.2485917904201158,0.0,1,0.0223113903252275
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,PI658,1,26,1.1984155872198172,0.0,1,0.079725705109093
*CC(*)c1cc(C)ccc1F,PI197,2,10,-1.0050514311635235,0.0071791720865941495,2,0.0280255957570148
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,PI1109,2,42,0.397138501147161,0.028658626283697256,2,0.06092528167381745
*c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc2)cc1,PI982,1,60,3.340378156417438,0.0,1,0.1299827310285569
*CC(*)c1ccccc1COC(C)C,PI88,1,13,-1.3533092274066758,0.0,1,0.0198543973690785
*C=CCCCCCCCC*,PI53,2,10,1.2818715668876026,0.00487356845645919,2,0.08168383892226665
