epoch,training_loss
1,0.6454841163423326
2,0.5260000195768144
3,0.6793882780604892
4,0.5198262847132153
5,0.5472424725691477
6,0.519610626829995
7,0.4963024705648422
8,0.5872079001532661
9,0.476794312397639
10,0.47822824782795376
11,0.5034229192468855
12,0.5146238174703386
13,0.5029068324300978
14,0.5130530595779419
15,0.5550709433025784
16,0.44155117372671765
17,0.47807808385954964
18,0.536493096086714
19,0.49214067061742145
20,0.5028274125523038
21,0.48760507504145306
22,0.48083973593182033
23,0.4675653444396125
24,0.4454647998015086
25,0.4464363190862868
26,0.43970609539084965
27,0.46601515346103245
28,0.4559811552365621
29,0.4793583287133111
30,0.4535885983043247
31,0.476755075984531
32,0.42036331362194485
33,0.44239501158396405
34,0.6102962278657489
35,0.4516385429435306
36,0.4491051534811656
37,0.4314933816591899
38,0.409898166027334
39,0.45239007472991943
40,0.43631981313228607
41,0.5442305240366194
42,0.4515456557273865
43,0.44225214256180656
44,0.44073184000121224
45,0.4979964229795668
46,0.5112745861212412
47,0.45048634542359245
48,0.4926364653640323
49,0.46836909651756287
50,0.4719851613044739
51,0.5231964654392667
52,0.4696289913521873
53,0.4670970009432899
54,0.41516339282194775
55,0.5024264868762758
56,0.43241411944230396
57,0.463563256793552
58,0.45059846176041496
59,0.5585203501913283
60,0.5165610048505995
61,0.45335329903496635
62,0.5677933726045821
63,0.45532294776704574
64,0.47176403635078007
65,0.4154103265868293
66,0.47942429118686253
67,0.4444987144735124
68,0.5582379930549197
69,0.4170435137218899
70,0.4653437402513292
71,0.4609905050860511
72,0.46349649131298065
73,0.4762045178148482
74,0.5012167261706458
75,0.3997576841049724
76,0.4329414318005244
77,0.46262919240527683
78,0.44874200887150234
79,0.48466210729546017
80,0.40332183572981095
81,0.630008813407686
82,0.4868810507986281
83,0.4851999117268456
84,0.4197440909014808
85,0.45051678352885777
86,0.40777340365780723
87,0.4381864335801866
88,0.5443176461590661
89,0.45319468445248073
90,0.428862096534835
91,0.39773160012231934
