epoch,training_loss
1,0.784195805589358
2,0.6608983278274536
3,0.6524025623997053
4,0.6373667940497398
5,0.5972025518616041
6,0.564261332154274
7,0.6372205292185148
8,0.6254478171467781
9,0.6483875960111618
10,0.6253961945573489
11,0.6099443038304647
12,0.6310835753877958
13,0.6078745052218437
14,0.6671633919080099
15,0.5842830836772919
16,0.5799443448583285
17,0.610483226676782
18,0.5253569334745407
19,0.672073632478714
20,0.6296417862176895
21,0.559953048825264
22,0.5637541388471922
23,0.5527709896365801
24,0.5013134082158407
25,0.6169601082801819
26,0.5515577693780264
27,0.5401672149697939
28,0.5327781637509664
29,0.6059426640470823
30,0.612224780023098
31,0.5239931866526604
32,0.6018709614872932
33,0.6339095706741015
34,0.5303513233860334
35,0.5270814125736555
36,0.64194006472826
37,0.5349117120107015
38,0.5447789678970972
39,0.5319635768731436
40,0.6241574312249819
41,0.5329282209277153
42,0.5012897476553917
43,0.5751081928610802
44,0.4973234385251999
45,0.5589533324042956
46,0.527541384100914
47,0.5427838489413261
48,0.5170877675215403
49,0.5514325052499771
50,0.5210955192645391
51,0.5352215270201365
52,0.4801074806600809
53,0.5473070641358694
54,0.5374677131573359
55,0.6853269388278326
56,0.5455867722630501
57,0.7198046917716662
58,0.525889036556085
59,0.5399104282259941
60,0.5393877352277437
61,0.534947489698728
62,0.5826331873734792
