epoch,training_loss
1,0.6995455871025721
2,0.6264901906251907
3,0.5889541755119959
4,0.5645529677470525
5,0.5501572117209435
6,0.5518720348676046
7,0.5901027396321297
8,0.5464134390155474
9,0.55618433902661
10,0.5183680752913157
11,0.5454888517657915
12,0.5387611438830694
13,0.537764422595501
14,0.5077479084332784
15,0.5199813892443975
16,0.5013883486390114
17,0.5260585869352022
18,0.540028398235639
19,0.525492899119854
20,0.5370990435282389
21,0.49632613360881805
22,0.5034370919068655
23,0.5435628667473793
24,0.5285518417755762
25,0.48084841171900433
26,0.5180398921171824
27,0.47292206684748334
28,0.504545584321022
29,0.512891930838426
30,0.48501288145780563
31,0.4671117464701335
32,0.5093065152565638
33,0.4661412263909976
34,0.4477522646387418
35,0.481155127286911
36,0.48682283858458203
37,0.467564694583416
38,0.4745599627494812
39,0.47639743362863857
40,0.48050214101870853
41,0.4855841398239136
42,0.526570754746596
43,0.48324067890644073
44,0.485993226369222
45,0.4864504312475522
46,0.43835179259379703
47,0.4771733234326045
48,0.4988545924425125
49,0.49653616299231845
50,0.481148158510526
51,0.4540484622120857
52,0.4451357573270798
53,0.445773924390475
54,0.4618205055594444
55,0.47639598449071247
56,0.4359021509687106
57,0.4772902528444926
58,0.4768006081382434
