smiles_list,monomer_ID,replicate_count,heavy_atom_count,thermal_conductivity,thermal_conductivity_std,thermal_conductivity_count,thermal_conductivity_raw
*CC(*)C(=O)OCC=C,PI427,2,8,1.0952954340480145,0.016881582908959813,2,0.2882166448073017
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,PI1053,5,64,-1.8796953950885085,0.008680289402190266,5,0.1301687202181513
*CC(*)CCCCC,PI8,1,7,0.5806402677041234,0.0,1,0.2608753232398182
*CC(*)c1ccc(C(C)(O)CCCC)cc1,PI142,1,15,0.8791389693657512,0.0,1,0.2767332209610926
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,PI166,1,17,0.22520996387242823,0.0,1,0.2419929047440963
*c1c(C)cc(C(c2cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)c2cccc3ccccc23)cc1C,PI1001,5,49,-0.006622745741356529,0.018209746148584526,5,0.2296766722880209
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,PI356,2,13,-0.3510476153861431,0.00569192591383944,2,0.2113789231685566
*CC(*)CC(C)CC,PI38,1,7,0.6375537051773248,0.0,1,0.2638988790053614
*CC(*)C(=O)c1ccc(CC)cc1,PI325,1,12,0.30986816902457825,0.0,1,0.2464904156247007
*CC(*)C(=O)Oc1ccc(C#N)cc1,PI476,2,13,-0.2847404295360054,0.009268438642140291,2,0.21490152666915396
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,PI991,5,39,2.0055622866240395,0.013852630602156354,5,0.3365750415670306
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,PI471,2,18,0.7012896425405918,0.0017162615292187784,2,0.2672848836018637
*C(C)C(*)OCCCC,PI284,1,8,0.5183800215897549,0.0,1,0.2575677155032116
*c1ccc2c(c1)C(=O)N(c1ccc3c(c1)-c1cc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc1C3)C2=O,PI959,5,44,-1.05586182173216,0.00609521623935772,5,0.1739353043704883
*CC(*)C(=O)OC,PI411,1,6,0.21009460847185515,0.0,1,0.2411898936803004
*CC(*)CCCCCCCC,PI12,1,10,1.4274296626535936,0.0,1,0.3058614472725806
*CC(*)c1cc(Br)ccc1OC,PI200,1,11,-2.2288030506548018,0.0,1,0.1116221956776198
*CCO*,PI524,1,3,-0.03136530385254553,0.0,1,0.2283622111070986
*c1ccc(Oc2c(C)cc(C(c3cc(C)c(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)c(C)c3)c3cccc4ccccc34)cc2C)cc1,PI1004,5,57,0.14577324342540787,0.018454904772171304,5,0.2377727879357147
*CC(*)c1ccc(COC)cc1,PI147,2,11,-0.07813961085113781,0.004233999020276201,2,0.22587730188559052
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,PI323,1,14,0.020530202556842327,0.0,1,0.2311191866927636
*CC(*)c1ccc(F)cc1C,PI189,1,10,-1.2043695593630113,0.0,1,0.1660457540941943
*CC(*)c1ccccc1C(=O)OCC(C)C,PI103,1,15,-0.4221411884958416,0.0,1,0.2076020403722906
*CC(*)c1ccc(OC)cc1,PI178,1,10,-0.45780346568536384,0.0,1,0.2057074634745316
*/C=C\CCCC*,PI60,2,6,0.7253432044032211,0.006663128018414467,2,0.26856274150116644
*CC(*)c1cc(Br)ccc1OCCCC,PI198,2,14,-1.527385847385811,0.015308677922658678,2,0.14888534693243094
*C=CCCCCCCCC*,PI53,2,10,2.0032669966352077,0.018583175623546225,2,0.33645310310069576
*C(C)C(*)OC(C)(C)C,PI285,2,8,-0.35933879963207643,0.011547422272005914,2,0.21093844972251363
*CC(*)P(=O)(Oc1ccccc1)N(C)C,PI382,1,14,-0.590993870723685,0.0,1,0.1986316544046916
*c1ccc(Oc2c(C)cc(C(c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)c(C)c3)c3cccc4ccccc34)cc2C)cc1,PI1005,5,63,0.5882421864457291,0.004239776054553784,2,0.26127917909988985
*CCCC=C(*)c1ccc(Cl)cc1,PI391,2,12,-1.15407968102893,0.0061417655756211935,2,0.16871742985893923
*CC(*)c1ccc(CCCCCCCCCC)cc1,PI127,2,18,1.7559086513406021,0.0,1,0.3233120632289978
*C(=O)c1ccc2c(c1)C(=O)N(c1c(CC)cc(Cc3cc(CC)c(N4C(=O)c5ccc(*)cc5C4=O)c(CC)c3)cc1CC)C2=O,PI1070,5,45,-0.0751189470333439,0.015136198958739943,5,0.2260377762112954
*c1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI985,4,38,0.8239157786525126,0.011926999341705232,4,0.27379946042780334
*CC(*)c1ccc(C(C)=NO)cc1,PI138,2,12,0.6804581550619484,0.002238733803661655,2,0.26617820006863746
*CC(*)C1CCC(C)CC1,PI66,1,9,-0.5572316657692409,0.0,1,0.2004252889834416
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1077,5,73,-1.0721764729601106,0.0074910195902344,4,0.1730685800963426
*CC(*)C=O,PI242,1,4,0.6138685342402654,0.0,1,0.2626405920642793
*CC(*)c1ccc(C#N)cc1,PI134,2,10,-0.9942931077823869,0.0008813674675298232,2,0.17720617410362594
*CC(*)OC1CCCCC1,PI308,2,9,-0.5065733083434495,0.009290947610350236,2,0.2031165403902789
*CC(*)OC(=O)c1ccccc1OC(C)=O,PI331,2,15,-0.12052631252204211,0.005859043061237386,2,0.22362548646362154
*CC(*)P(=O)(OCC)N(C)C,PI381,3,10,-0.3930340525650683,0.018423085597064768,3,0.2091483720044887
*CC(*)c1cc(C)ccc1F,PI197,2,10,-0.8420942431768985,0.00788461877293586,2,0.1852918174071733
*CC(*)C(=O)c1ccc(Br)c(OC)c1,PI322,2,13,-1.5497648498135306,0.007729070468216954,2,0.1476964508681351
*CC(*)c1cc(C)cc(C)c1,PI205,1,10,-0.08883073306408815,0.0,1,0.2253093304953136
*CC(*)c1ccc(CCCCCC)cc1,PI124,2,14,0.6253306191031168,0.023930573887147543,2,0.26324952124358847
