epoch,training_loss
1,0.7841960688432058
2,0.6837040235598882
3,0.6744561543067297
4,0.6172070081035296
5,0.6197520792484283
6,0.5634325717886289
7,0.6196870977679888
8,0.6265749136606852
9,0.6193147326509157
10,0.6068578983346621
11,0.6434843987226486
12,0.635199673473835
13,0.5672778934240341
14,0.6240139007568359
15,0.5933323403199514
16,0.5925008952617645
17,0.606983982026577
18,0.5412890315055847
19,0.6931364114085833
20,0.6613023107250532
21,0.5632559508085251
22,0.5680335784951845
23,0.5576960394779841
24,0.5341625437140465
25,0.648387499153614
26,0.5577561457951864
27,0.547031802435716
28,0.6224289735158285
29,0.6509735360741615
30,0.6436641663312912
31,0.5401920403043429
32,0.6674826790889105
33,0.6467475245396296
34,0.5267745902140936
35,0.5206679776310921
36,0.6548543547590574
37,0.5590998207529386
38,0.5855035136143366
39,0.5669768676161766
40,0.6458269233504931
41,0.5675784796476364
42,0.530602715909481
43,0.6053497393925985
44,0.5346497396628062
45,0.59846314539512
46,0.5375152081251144
47,0.5708974649508795
