smiles_list,monomer_ID,replicate_count,heavy_atom_count,tg,tg_std,tg_count,tg_raw
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,PI174,1,17,-0.5766999107177408,0.0,1,435.3401248681566
*CC(*)c1ccc(CCCC)cc1,PI121,2,12,-0.4909736995668523,13.924895659224603,2,454.62137657226026
*c1cccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C4(CC(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc64)CC5(C)C)cc3C2=O)c1,PI986,3,51,0.4427786512262605,34.02763080791977,3,664.6378215222354
*CC(*)c1cccs1,PI373,1,7,-0.6053068740495174,0.0,1,428.9059426841428
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,PI1011,5,36,0.9377329807955346,39.80427360958085,5,775.9612881999313
*CC(*)c1cc(C)ccc1C,PI192,1,10,-0.44499060616991803,0.0,1,464.9637396140498
*CC(*)c1ccc(Cl)c(C)c1,PI207,2,10,-0.5278094450636192,0.0,1,446.3364043205255
*CC(*)c1cccc(CC)c1,PI114,1,10,-0.4790033325636892,0.0,1,457.31371134455344
*CC(*)CCC,PI4,2,5,-1.2438340318294554,0.0,1,285.290557333786
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,PI966,5,45,0.6151988102034178,36.77387373655755,5,703.4179850156232
*c1ccc(C(=O)Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1091,3,37,0.5022046826810829,41.574323770931365,3,678.0037250758131
*CC(*)C(C)c1ccccc1,PI28,2,10,-0.7594006046683401,72.15999696796229,2,394.24769795131147
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,PI963,3,53,0.35364577788341817,43.11401760753386,3,644.5903547911046
*CC(*)c1cc(Br)ccc1OC(C)C,PI202,1,13,3.848608973432974,0.0,1,1430.6657471977487
*CC(*)(F)C(C)=O,PI320,1,6,-0.7299826148635751,0.0,1,400.8642934877229
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,PI975,5,46,0.7835762422737563,29.577002562812115,5,741.2888719410297
*CC(*)c1ccc(Oc2ccccc2)cc1,PI183,1,15,-0.6987489902272761,0.0,1,407.8892555169439
*CCO*,PI524,1,3,-1.4685420627744286,0.0,1,234.7499811620763
*c1cc(C(c2ccc(O)c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,PI979,4,39,0.6042970158708385,19.24876992444636,4,700.9659900221334
*C(c1ccccc1)C(*)[N+](=O)[O-],PI222,1,11,-0.06913142752860053,0.0,1,549.5007246433456
*c1ccc2c(c1)C(=O)N(c1c(C(C)C)cc(Cc3cc(C(C)C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,PI973,5,56,0.13001801934682874,30.70130906680248,5,594.2927498639584
*CC(*)C1CC=CCC1,PI67,3,8,-1.0169275969706304,186.71733267659027,2,336.32559113567896
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(C(c3cc(C)c(N4C(=O)c5ccc(*)cc5C4=O)c(C)c3)c3cccc4ccccc34)cc1C)C2=O,PI1002,5,51,0.7635107906274469,36.95706226181484,5,736.7758178989229
*C1CCC(CC2CCC(N3C(=O)C4C5C=CC(C6C(=O)N(*)C(=O)C56)C4C3=O)C(C)C2)CC1C,PI1082,4,33,0.282894520491062,51.3163244572282,4,628.6772194285404
*C(C)C(*)C,PI49,1,4,-0.5830863964765232,0.0,1,433.9036979251413
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCCC2)cc1,PI801,1,22,-0.3413332391528786,0.0,1,488.27800671635225
*CC(*)c1cc(C)cc(C)c1,PI205,1,10,-0.6470814779912307,0.0,1,419.51013896640126
*CC(*)C(=O)OC(CC)CC,PI457,2,10,-1.3208133422712085,50.011509473876934,2,267.97662918148137
*CC(*)OC(=O)CCCC(=O)c1ccccc1,PI333,1,16,-1.1359361161896488,0.0,1,309.5585944005063
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1037,3,46,0.5657953642537018,10.088091144231038,3,692.3063277567957
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI350,1,21,4.118285028213728,0.0,1,1491.3203803722547
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1,PI815,1,26,-0.3930791862130456,0.0,1,476.6394819694906
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,PI1032,3,40,0.1726627540770269,40.33944563519803,3,603.8842604783775
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,PI159,2,16,-0.3836457751451772,0.0,1,478.7612131271607
*C1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,PI978,5,28,0.6914682338483684,54.52618543181332,5,720.5722478120605
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,PI399,1,35,-0.3426357134501076,0.0,1,487.9850585686872
*c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)ccc1C)C2=O,PI974,5,38,0.6454158425448606,151.31470312257875,5,710.2142985176969
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,PI157,2,16,-0.4873457634144207,51.65148733678628,2,455.43735979585483
*CC(*)CCCC(C)(C)C,PI41,1,9,-0.8950319960537604,0.0,1,363.74194059692286
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,-0.8694513212553563,36.98181283199192,2,369.4954601206157
*CC(*)OCC(C)(C)C,PI276,1,8,-0.9859262475455678,0.0,1,343.29831060393354
*CC(*)(C)CC,PI14,2,5,-0.29643772247285005,0.0,1,498.3757556530197
*CC(*)C(=O)OC(C)C,PI414,1,8,0.7394026290917881,0.0,1,731.353491116347
*CC(*)OC1CCCCC1,PI308,2,9,-1.5526736408419641,0.0,1,215.82738897929104
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,PI1033,2,42,0.4135374817169685,12.195213276439501,2,658.0609958132507
*CC(*)C(=O)c1ccc(OC)cc1,PI327,1,12,-0.5682360310568907,0.0,1,437.2437922756296
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,PI397,1,62,-0.41269164475526315,0.0,1,472.2283136160543
*CC(*)(C)C(=O)OCc1ccccc1Cl,PI452,1,14,-0.6988989285933357,0.0,1,407.8555318828618
*CC(*)OC(C)=O,PI259,2,6,-0.9543046466804299,0.0,1,350.41053494444793
*c1ccc(Sc2ccc3c(c2)Sc2ccc(Sc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc2S3)cc1,PI1086,2,44,0.6788100768107921,47.32698178143426,2,717.725217613537
*C(F)(F)C(*)(F)OC(F)(F)F,PI315,2,10,-0.5607347928013388,188.71383702251472,2,438.9309456089686
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1061,3,36,0.6172203836398615,28.378638201643998,3,703.8726705282933
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1051,4,72,0.6078352733844459,39.84248598119064,4,701.7618030272564
*CC(*)c1ccc(OCCCC)cc1,PI181,2,13,-0.7785199898144509,7.659823917782413,2,389.94743001131116
*CC(*)SC,PI317,2,4,-0.705980167289101,4.069700688803562,2,406.2628434409386
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,PI424,2,21,0.9539898379765628,0.0,1,779.6177259570294
*CC(*)c1ccccc1COC(C)C,PI88,1,13,-1.7761039563681775,0.0,1,165.5741922713951
*CC(*)(C)C,PI13,1,4,-0.4112561913432985,0.0,1,472.5511709799111
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2-c2ccccc2)cc1,PI1031,2,42,0.496989577651164,1.3201096507805055,2,676.8307611550326
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,PI156,1,15,-0.610704596220141,0.0,1,427.69190512896114
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccccc6Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1072,5,58,0.1845788365889753,22.837764820587157,5,606.5643857650923
*c1ccc(Oc2c(C)cc(C(c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)c(C)c3)c3cccc4ccccc34)cc2C)cc1,PI1005,5,63,0.34789174811956924,62.94382315597701,5,643.2961777278678
*CC(*)OCCOC,PI375,2,7,-1.0859211062712895,51.1223019780694,2,320.8078025746755
*CC(*)Cc1ccc(C)c(C)c1,PI292,2,11,-0.565047111549056,52.39802776559324,2,437.96103334891654
*CC(*)C(=O)Oc1ccc(C#N)cc1,PI476,2,13,-0.9446139886669866,0.0,1,352.5901252217636
*C1Cc2ccccc2C1*,PI386,1,9,-0.18292823505669814,0.0,1,523.9059286105345
*Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,PI583,1,27,-0.04263786718366992,0.0,1,555.4595673204044
*c1ccc(-c2ccc(Oc3ccc(C4(C)CC(C)(C)c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc54)cc3)c(C(F)(F)F)c2)cc1,PI1101,2,75,0.2680529076367756,4.603806849402632,2,625.339093675675
*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,PI1112,3,54,0.1861825625563665,88.81414314727255,3,606.9250904273717
