epoch,training_loss
1,0.7102264612913132
2,0.6174691542983055
3,0.5948539972305298
4,0.558763879040877
5,0.52738040437301
6,0.5570522770285606
7,0.5791847010453542
8,0.5372626582781473
9,0.562642494837443
10,0.5157983501752218
11,0.5579195494453112
12,0.528110588590304
13,0.5567552596330643
14,0.5193027704954147
15,0.5425089473525683
16,0.5096671382586161
17,0.5499990334113439
18,0.548751175403595
19,0.5284011835853258
20,0.532936212917169
21,0.4977710073192914
22,0.4804169436295827
23,0.5376274039347967
24,0.529003826280435
25,0.48054499675830203
26,0.5266899193326632
27,0.47110283623139065
28,0.5292283023397127
29,0.51466736694177
30,0.47899363934993744
31,0.4669390544295311
32,0.48078929632902145
33,0.48275917768478394
34,0.4431026491026084
35,0.45339706788460415
36,0.4800661454598109
37,0.4561006973187129
38,0.468875711162885
39,0.47777670125166577
40,0.47428325812021893
41,0.4719265302022298
42,0.5097872167825699
43,0.503992460668087
44,0.46527979026238125
45,0.48131681978702545
46,0.4470781584580739
47,0.46087787424524623
48,0.4895300269126892
49,0.5115099549293518
50,0.4832478240132332
51,0.4415801117817561
52,0.4419490446647008
53,0.45038724814852077
54,0.4723645622531573
55,0.4632104883591334
56,0.4415758525331815
57,0.4750041142106056
58,0.4486320863167445
59,0.4139714116851489
60,0.4705483665068944
61,0.4800026093920072
