epoch,training_loss
1,0.7324808835983276
2,0.6209031417965889
3,0.6293657720088959
4,0.6049535324176153
5,0.5909908587733904
6,0.5465845540165901
7,0.5278532157341639
8,0.49046651025613147
9,0.5040102129181226
10,0.4762242262562116
11,0.44345402469237644
12,0.4962869957089424
13,0.4604349459211032
14,0.4549723466237386
15,0.5001330350836118
16,0.47592655072609585
17,0.45416852831840515
18,0.4256741926074028
19,0.4334018950661023
20,0.4314235945542653
21,0.42745672911405563
22,0.41532200823227566
23,0.418206329147021
24,0.41933656483888626
25,0.4144700343410174
26,0.43781503786643344
27,0.45734020074208576
28,0.4031720484296481
29,0.41886282215515774
30,0.35740262021621066
31,0.40897055839498836
32,0.3966568360726039
33,0.41116369515657425
34,0.38227683305740356
35,0.38487974802652997
36,0.389909066259861
37,0.3484689071774483
38,0.4453384503722191
39,0.35149696717659634
40,0.39863759527603787
41,0.40302272886037827
42,0.38872964183489483
43,0.3747098694245021
44,0.37570545822381973
45,0.3412536531686783
46,0.3320441320538521
47,0.35018771638472873
48,0.3669508372743924
49,0.3902942053973675
50,0.3293335698544979
51,0.3957877730329831
52,0.36300461490948993
53,0.3980107878645261
54,0.3430967976649602
55,0.33356153468290967
56,0.3319368933637937
57,0.3311391274134318
58,0.3255304569999377
59,0.34793077160914737
60,0.36870285868644714
61,0.4028512438138326
62,0.3783327415585518
63,0.3379202336072922
64,0.39455966527263325
65,0.3713351637125015
66,0.35649431869387627
67,0.3475336283445358
68,0.3116685139636199
69,0.30895216887195903
70,0.3202710698048274
71,0.33984164148569107
72,0.3202253667016824
73,0.30145205308993656
74,0.33995430544018745
75,0.32569022849202156
76,0.34234031041463214
77,0.33210183431704837
78,0.3814944053689639
79,0.3277941383421421
80,0.3124638944864273
81,0.35841496537129086
82,0.3348429761826992
83,0.32210899765292805
84,0.31672190005580586
85,0.3347231174508731
86,0.3743965153892835
87,0.38949325556556386
88,0.28364207098881405
89,0.31325189645091694
90,0.30551913380622864
91,0.29548561573028564
92,0.3124065374334653
93,0.3121192418038845
94,0.3275636024773121
95,0.323025810221831
96,0.32367223377029103
97,0.34580426663160324
98,0.3414655352632205
99,0.3172771657506625
100,0.30068630600969
101,0.32872355977694195
102,45.207021713256836
103,33.0854868888855
104,26.368844985961914
105,22.686925093332928
106,20.198191960652668
107,18.643765767415363
108,17.479047775268555
109,16.51284058888753
110,15.747196197509766
111,15.10883617401123
112,14.433746258417765
113,13.884497483571371
114,13.258729298909506
115,12.767563263575235
116,12.35640319188436
117,11.83346438407898
118,11.401056051254272
119,11.083970387776693
120,10.83362086613973
121,10.44415012995402
122,10.036497275034586
123,9.671814600626627
124,9.46949052810669
125,9.305264075597128
126,9.04446538289388
127,8.632557074228922
128,8.391602436701456
